match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2017-frenchopen-1101,0:06:01,1,1,0,0,2,0,10,1,2,147,,15,15,,,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,91,0,0,2,,,,,,,2,0,0,7.015,5.194,2,BW,NCTL,ND
2017-frenchopen-1101,0:07:08,1,1,0,0,2,0,11,2,2,0,,15,30,,,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,0,0,0,2,,,,,,,2,0,F,0.000,0.000,0,,,
2017-frenchopen-1101,0:07:33,1,1,0,0,2,0,12,2,2,147,,15,40,,,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,91,0,0,2,,,,,,,2,0,0,5.492,6.238,3,BC,CTL,D
2017-frenchopen-1101,0:08:03,1,1,1,0,2,2,13,2,2,170,,0,0,,,6,7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,,,,,,,,,,,11022,105,0,0,1,,,,,,,1,0,0,41.673,29.873,13,W,CTL,ND
2017-frenchopen-1101,0:09:02,1,1,1,0,3,0,14,1,1,139,,15,0,,,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,86,0,0,1,,,,,,,2,0,0,1.666,1.313,1,BC,NCTL,
2017-frenchopen-1101,0:09:56,1,1,1,0,3,0,15,1,1,132,,30,0,,,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,82,0,0,1,,,,,,,2,0,0,3.661,5.151,1,W,CTL,D
2017-frenchopen-1101,0:10:30,1,1,1,0,3,0,16,1,1,200,,40,0,,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,124,0,0,1,,,,,,,1,0,0,4.260,3.650,1,BC,NCTL,D
2017-frenchopen-1101,0:10:50,1,2,1,0,3,1,17,1,1,134,,0,0,,,10,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21022,83,0,0,2,,,,,,,2,0,0,17.415,12.498,7,BW,NCTL,ND
2017-frenchopen-1101,0:13:16,1,2,1,0,4,0,18,1,2,161,,15,0,,,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,100,0,0,2,,,,,,,2,0,0,19.461,15.496,6,B,NCTL,ND
2017-frenchopen-1101,0:13:52,1,2,1,0,4,0,19,2,2,184,,15,15,,,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,114,0,0,2,,,,,,,1,0,0,16.286,13.736,5,C,NCTL,D
2017-frenchopen-1101,0:14:29,1,2,1,0,4,0,20,1,2,0,,30,15,,,12,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,25000,0,0,0,2,,,,,,,0,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:14:48,1,2,1,0,4,0,21,2,2,178,,30,30,,,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,110,0,0,2,,,,,,,1,0,0,36.433,36.832,11,C,CTL,ND
2017-frenchopen-1101,0:15:28,1,2,1,0,4,0,22,2,2,189,,30,40,,,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,117,0,0,2,,,,,,,1,0,0,15.673,15.401,5,BC,NCTL,D
2017-frenchopen-1101,0:15:57,1,2,1,0,4,0,23,1,2,146,,40,40,,,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,90,0,0,2,,,,,,,2,0,0,2.822,4.010,2,BC,NCTL,ND
2017-frenchopen-1101,0:16:31,1,2,1,0,4,0,24,2,2,154,,40,AD,,,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,95,0,0,2,,,,,,,2,0,0,10.677,6.318,3,B,NCTL,ND
2017-frenchopen-1101,0:17:03,1,2,2,0,4,2,25,2,2,150,,0,0,,,13,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21012,93,0,0,1,,,,,,,2,0,F,8.921,9.722,5,B,CTL,ND
2017-frenchopen-1101,0:17:55,1,2,2,0,5,0,26,1,1,165,,15,0,,,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,102,0,0,1,,,,,,,1,0,0,2.457,4.608,1,W,NCTL,D
2017-frenchopen-1101,0:18:20,1,2,2,0,5,0,27,2,1,129,,15,15,,,14,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,80,0,0,1,,,,,,,2,0,0,12.451,8.285,4,BW,NCTL,D
2017-frenchopen-1101,0:19:08,1,2,2,0,5,0,28,1,1,196,,30,15,,,15,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,12010,121,0,0,1,,,,,,,1,0,B,0.156,0.398,3,,,
2017-frenchopen-1101,0:20:28,1,2,2,0,5,0,29,1,1,202,,40,15,,,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,125,0,0,1,,,,,,,1,0,0,4.091,3.642,1,BW,NCTL,D
2017-frenchopen-1101,0:20:53,1,3,2,0,5,1,30,1,1,186,,0,0,,,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22032,115,0,0,2,,,,,,,1,0,0,1.936,2.828,1,C,NCTL,
2017-frenchopen-1101,0:23:05,1,3,2,0,6,0,31,2,2,150,,0,15,,,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,93,0,0,2,,,,,,,2,0,0,21.603,18.866,7,C,NCTL,D
2017-frenchopen-1101,0:23:44,1,3,2,0,6,0,32,2,2,172,,0,30,,,17,15,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,21010,106,0,0,2,,,,,,,1,0,F,27.195,23.282,13,BW,NCTL,ND
2017-frenchopen-1101,0:24:27,1,3,2,0,6,0,33,1,2,150,,15,30,,,18,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,93,0,0,2,,,,,,,2,0,0,9.790,7.769,2,B,NCTL,D
2017-frenchopen-1101,0:25:03,1,3,2,0,6,0,34,1,2,0,,30,30,,,19,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,0,0,0,2,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:25:36,1,3,2,0,6,0,35,1,2,0,,40,30,,,20,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,0,0,0,2,,,,,,,2,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:26:04,1,4,2,0,6,1,36,1,2,0,,0,0,,,21,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,21021,0,1,0,1,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:26:50,1,4,2,0,7,0,37,1,1,137,,15,0,,,22,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,85,0,0,1,,,,,,,2,0,0,36.780,37.491,13,BC,NCTL,ND
2017-frenchopen-1101,0:28:05,1,4,2,0,7,0,38,1,1,184,,30,0,,,23,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,114,0,0,1,,,,,,,1,0,0,1.354,2.721,1,C,NCTL,
2017-frenchopen-1101,0:28:31,1,4,2,0,7,0,39,1,1,194,,40,0,,,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,120,0,0,1,,,,,,,1,0,0,2.021,3.658,1,C,NCTL,ND
2017-frenchopen-1101,0:28:51,1,5,2,0,7,1,40,1,1,192,,0,0,,,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22032,119,0,0,2,,,,,,,1,0,0,8.750,9.974,5,W,NCTL,ND
2017-frenchopen-1101,0:31:10,1,5,2,0,8,0,41,1,2,0,,15,0,,,26,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,0,0,0,2,,,,,,,2,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:31:29,1,5,2,0,8,0,42,2,2,180,,15,15,,,26,16,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,11030,111,0,0,2,,,,,,,1,0,0,8.513,7.864,3,C,NCTL,ND
2017-frenchopen-1101,0:31:51,1,5,2,0,8,0,43,2,2,177,,15,30,,,26,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22010,110,0,0,2,,,,,,,1,0,B,7.220,6.087,3,BC,NCTL,ND
2017-frenchopen-1101,0:32:15,1,5,2,0,8,0,44,1,2,183,,30,30,,,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21430,113,0,0,2,,,,,,,1,0,0,25.158,17.863,6,W,CTL,D
2017-frenchopen-1101,0:32:48,1,5,2,0,8,0,45,2,2,195,,30,40,,,27,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,121,0,0,2,,,,,,,1,0,0,2.221,0.978,1,C,CTL,
2017-frenchopen-1101,0:33:21,1,5,3,0,8,2,46,2,2,0,,0,0,,,27,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12022,0,0,0,1,,,,,,,2,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:34:20,1,5,3,0,9,0,47,2,1,0,,0,15,,,27,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,0,0,0,1,,,,,,,2,0,F,0.000,0.000,0,,,
2017-frenchopen-1101,0:34:51,1,5,3,0,9,0,48,1,1,125,,15,15,,,28,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,77,0,0,1,,,,,,,2,0,0,43.233,58.217,17,W,NCTL,ND
2017-frenchopen-1101,0:36:05,1,5,3,0,9,0,49,2,1,136,,15,30,,,28,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,84,0,0,1,,,,,,,2,0,F,12.137,7.792,4,BC,NCTL,ND
2017-frenchopen-1101,0:37:19,1,5,3,0,9,0,50,2,1,184,,15,40,,,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,114,0,0,1,,,,,,,1,0,0,8.592,13.501,4,C,NCTL,D
2017-frenchopen-1101,0:38:00,1,5,4,0,9,2,51,2,1,146,,0,0,,,28,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,11021,90,0,1,2,,,,,,,2,0,0,5.119,6.899,2,C,NCTL,ND
2017-frenchopen-1101,0:40:20,1,5,4,0,10,0,52,1,2,156,,15,0,,,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,97,0,0,2,,,,,,,2,0,0,7.621,5.723,2,B,NCTL,D
2017-frenchopen-1101,0:41:08,1,5,4,0,10,0,53,1,2,0,,30,0,,,30,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,0,0,0,2,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:41:42,1,5,4,0,10,0,54,1,2,0,,40,0,,,31,23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,25000,0,0,0,2,,,,,,,0,0,0,0.518,0.453,0,,,
2017-frenchopen-1101,0:42:13,1,6,4,1,10,1,55,1,2,137,,0,0,,,32,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,22033,85,1,0,1,,,,,,,2,0,0,22.449,16.195,8,BW,NCTL,ND
2017-frenchopen-1101,0:45:00,2,0,0,0,1,0,56,1,1,196,,15,0,,,33,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,121,0,0,1,,,,,,,1,0,F,6.677,10.114,3,C,NCTL,D
2017-frenchopen-1101,0:45:27,2,0,0,0,1,0,57,2,1,180,,15,15,,,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,111,0,0,1,,,,,,,1,0,0,16.251,16.334,6,BC,CTL,ND
2017-frenchopen-1101,0:46:05,2,0,0,0,1,0,58,1,1,0,,30,15,,,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,0,0,0,1,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:46:28,2,0,0,0,1,0,59,2,1,183,,30,30,,,34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,113,0,0,1,,,,,,,1,0,0,39.504,36.717,14,C,NCTL,ND
2017-frenchopen-1101,0:47:18,2,0,0,0,1,0,60,1,1,130,,40,30,,,35,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,80,0,0,1,,,,,,,2,0,0,31.450,27.296,9,BC,NCTL,D
2017-frenchopen-1101,0:48:36,2,0,0,0,1,0,61,2,1,173,,40,40,,,35,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,107,0,0,1,,,,,,,1,0,0,7.123,14.799,4,C,NCTL,ND
2017-frenchopen-1101,0:49:12,2,0,0,0,1,0,62,1,1,126,,AD,40,,,36,26,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11410,78,0,0,1,,,,,,,2,0,F,22.472,22.751,7,BC,NCTL,D
2017-frenchopen-1101,0:50:03,2,0,0,0,1,0,63,2,1,188,,40,40,,,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,116,0,0,1,,,,,,,1,0,0,18.974,13.872,4,W,CTL,D
2017-frenchopen-1101,0:51:08,2,0,0,0,1,0,64,2,1,0,,40,AD,,,36,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,0,0,0,1,,,,,,,2,0,F,0.000,0.000,0,,,
2017-frenchopen-1101,0:51:38,2,0,1,0,1,2,65,2,1,178,,0,0,,,36,29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,21011,110,0,1,2,,,,,,,1,0,F,14.798,16.328,8,C,NCTL,D
2017-frenchopen-1101,0:53:11,2,0,1,0,2,0,66,1,2,0,,15,0,,,37,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,0,0,0,2,,,,,,,2,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:53:29,2,0,1,0,2,0,67,1,2,174,,30,0,,,38,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,108,0,0,2,,,,,,,1,0,0,23.193,17.789,8,B,NCTL,D
2017-frenchopen-1101,0:54:00,2,0,1,0,2,0,68,1,2,145,,40,0,,,39,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,90,0,0,2,,,,,,,2,0,0,5.293,4.576,2,BC,NCTL,ND
2017-frenchopen-1101,0:54:36,2,1,1,0,2,1,69,1,2,137,,0,0,,,40,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,22031,85,1,0,1,,,,,,,2,0,0,3.173,5.065,2,B,NCTL,ND
2017-frenchopen-1101,0:55:21,2,1,1,0,3,0,70,1,1,199,,15,0,,,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,123,0,0,1,,,,,,,1,0,0,6.410,4.247,1,C,CTL,ND
2017-frenchopen-1101,0:55:43,2,1,1,0,3,0,71,1,1,191,,30,0,,,42,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,118,0,0,1,,,,,,,1,0,0,3.237,3.326,1,W,NCTL,D
2017-frenchopen-1101,0:56:07,2,1,1,0,3,0,72,2,1,143,,30,15,,,42,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22010,88,0,0,1,,,,,,,2,0,B,21.231,28.689,8,BC,NCTL,D
2017-frenchopen-1101,0:57:07,2,1,1,0,3,0,73,2,1,181,,30,30,,,42,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,112,0,0,1,,,,,,,1,0,0,17.468,13.689,4,C,CTL,ND
2017-frenchopen-1101,0:57:46,2,1,1,0,3,0,74,1,1,166,,40,30,,,43,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,103,0,0,1,,,,,,,1,0,0,2.542,3.301,1,W,NCTL,
2017-frenchopen-1101,0:58:11,2,2,1,0,3,1,75,1,1,124,,0,0,,,44,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22032,77,0,0,2,,,,,,,2,0,0,9.987,17.645,3,W,NCTL,ND
2017-frenchopen-1101,1:00:21,2,2,1,0,4,0,76,2,2,161,,0,15,,,44,32,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,21010,100,0,0,2,,,,,,,1,0,F,41.874,34.691,11,W,CTL,ND
2017-frenchopen-1101,1:01:08,2,2,1,0,4,0,77,2,2,145,,0,30,,,44,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,90,0,0,2,,,,,,,2,0,0,6.132,5.506,3,BW,CTL,D
2017-frenchopen-1101,1:01:42,2,2,1,0,4,0,78,2,2,191,,0,40,,,44,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21510,118,0,0,2,,,,,,,1,0,F,21.273,20.938,9,C,NCTL,ND
2017-frenchopen-1101,1:02:32,2,2,1,0,4,0,79,1,2,0,,15,40,,,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,0,0,0,2,,,,,,,2,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,1:03:03,2,2,1,0,4,0,80,1,2,0,,30,40,,,46,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,0,0,0,2,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,1:03:29,2,2,1,0,4,0,81,1,2,171,,40,40,,,47,34,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,12010,106,0,0,2,,,,,,,1,0,B,47.736,44.646,22,C,NCTL,ND
2017-frenchopen-1101,1:04:21,2,2,1,0,4,0,82,2,2,163,,40,AD,,,47,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,101,0,0,2,,,,,,,1,0,0,1.822,0.940,1,W,CTL,
2017-frenchopen-1101,1:04:39,2,2,2,0,4,2,83,2,2,187,,0,0,,,47,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12032,116,0,0,1,,,,,,,1,0,0,5.892,6.570,1,W,CTL,D
2017-frenchopen-1101,1:05:19,2,2,2,0,5,0,84,2,1,198,,0,15,,,47,37,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,21510,123,0,0,1,,,,,,,1,0,F,12.139,20.120,6,C,NCTL,ND
2017-frenchopen-1101,1:05:51,2,2,2,0,5,0,85,1,1,125,,15,15,,,48,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,77,0,0,1,,,,,,,2,0,0,4.168,1.765,1,BW,NCTL,D
2017-frenchopen-1101,1:06:34,2,2,2,0,5,0,86,1,1,0,,30,15,,,49,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,0,0,0,1,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,1:07:04,2,2,2,0,5,0,87,2,1,0,,30,30,,,49,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,0,0,0,1,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,1:07:44,2,2,2,0,5,0,88,2,1,0,,30,40,,,49,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15000,0,0,0,1,,,,,,,0,0,0,1.914,0.997,0,BC,CTL,
2017-frenchopen-1101,1:08:14,2,2,3,0,5,2,89,2,1,174,,0,0,,,49,40,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,,,,,,,,,,,21011,108,0,1,2,,,,,,,1,0,F,14.465,27.030,6,C,NCTL,ND
2017-frenchopen-1101,1:10:16,2,2,3,0,6,0,90,2,2,0,,0,15,,,49,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,0,0,0,2,,,,,,,2,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,1:10:34,2,2,3,0,6,0,91,2,2,171,,0,30,,,49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,106,0,0,2,,,,,,,1,0,0,18.556,24.120,7,BW,NCTL,D
2017-frenchopen-1101,1:11:11,2,2,3,0,6,0,92,2,2,149,,0,40,,,49,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,92,0,0,2,,,,,,,2,0,0,2.615,4.734,1,BC,NCTL,ND
2017-frenchopen-1101,1:11:39,2,2,3,0,6,0,93,1,2,139,,15,40,,,50,43,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,12010,86,0,0,2,,,,,,,2,0,B,32.494,31.645,10,W,CTL,ND
2017-frenchopen-1101,1:12:25,2,2,3,0,6,0,94,1,2,163,,30,40,,,51,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,101,0,0,2,,,,,,,2,0,0,11.247,6.073,4,C,NCTL,ND
2017-frenchopen-1101,1:13:06,2,2,4,0,6,2,95,2,2,139,,0,0,,,51,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12032,86,0,0,1,,,,,,,2,0,0,2.713,4.008,1,BW,NCTL,D
2017-frenchopen-1101,1:14:04,2,2,4,0,7,0,96,2,1,0,,0,15,,,51,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,0,0,0,1,,,,,,,1,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,1:14:28,2,2,4,0,7,0,97,2,1,0,,0,30,,,51,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,0,0,0,1,,,,,,,1,0,0,0.000,0.000,0,,,
